"a, avg",lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin
1/1/2000,"Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted","Units, Seasonally Adjusted"
3/17/2022," Nashville-Davidson--Murfreesboro--Franklin, TN "," Seattle-Tacoma-Bellevue, WA "," Raleigh-Cary, NC "," Dallas-Fort Worth-Arlington, TX ","New York-Newark-Jersey City, NY-NJ-PA "," Colorado Springs, CO "," Tampa-St. Petersburg-Clearwater, FL "," Salt Lake City, UT "," Minneapolis-St. Paul-Bloomington, MN-WI "," Miami-Fort Lauderdale-Pompano Beach, FL "," Cape Coral-Fort Myers, FL "," Washington-Arlington-Alexandria, DC-VA-MD-WV ","Atlanta-Sandy Springs-Alpharetta, GA "," Albuquerque, NM "," Tucson, AZ "," Port St. Lucie, FL ","Austin-Round Rock-Georgetown, TX "," San Jose-Sunnyvale-Santa Clara, CA ","Denver-Aurora-Lakewood, CO ","Phoenix-Mesa-Chandler, AZ "," Tulsa, OK ","Los Angeles-Long Beach-Anaheim, CA "," Riverside-San Bernardino-Ontario, CA "," Jacksonville, FL "," Louisville-Jefferson County, KY-IN "," Lakeland-Winter Haven, FL "," Eugene-Springfield, OR "," Philadelphia-Camden-Wilmington, PA-NJ-DE-MD "," Pensacola-Ferry Pass-Brent, FL "," Birmingham-Hoover, AL ","San Francisco-Oakland-Berkeley, CA "," Kansas City, MO-KS ","San Diego-Chula Vista-Carlsbad, CA ","Orlando-Kissimmee-Sanford, FL ","Portland-Vancouver-Hillsboro, OR-WA "," Pittsburgh, PA ","Boston-Cambridge-Newton, MA-NH "," St. Louis, MO-IL ","Sacramento-Roseville-Folsom, CA ","Las Vegas-Henderson-Paradise, NV "," Palm Bay-Melbourne-Titusville, FL ","Chicago-Naperville-Elgin, IL-IN-WI "," Columbia, SC "," Deltona-Daytona Beach-Ormond Beach, FL "," Bend, OR "," Omaha-Council Bluffs, NE-IA "," Tallahassee, FL "," Naples-Marco Island, FL "," Memphis, TN-MS-AR "," Santa Fe, NM ","Charlotte-Concord-Gastonia, NC-SC ","Boise City, ID ","Houston-The Woodlands-Sugar Land, TX ","Charleston-North Charleston, SC ","Myrtle Beach-Conway-North Myrtle Beach, SC-NC ","Detroit-Warren-Dearborn, MI "," Columbus, OH "," Oklahoma City, OK "," Des Moines-West Des Moines, IA ","North Port-Sarasota-Bradenton, FL ","Reno, NV ","Cleveland-Elyria, OH "," Fairbanks, AK "," Farmington, NM "," Greeley, CO "," Greensboro-High Point, NC "," Harrisonburg, VA "," Laredo, TX "," Madison, WI "," McAllen-Edinburg-Mission, TX "," Medford, OR "," Midland, TX "," Dover, DE "," Stockton, CA "," Sebastian-Vero Beach, FL "," Richmond, VA "," Pueblo, CO "," Auburn-Opelika, AL "," Anchorage, AK "," Sumter, SC "," Springfield, OH "," Odessa, TX "," Missoula, MT "," Wilmington, NC "," Rome, GA "," Ocala, FL "," Columbia, MO "," Cheyenne, WY "," Allentown-Bethlehem-Easton, PA-NJ "," Grand Junction, CO "," Hot Springs, AR "," Johnson City, TN "," Las Cruces, NM "," Ocean City, NJ "," Carson City, NV "," Virginia Beach-Norfolk-Newport News, VA-NC "," San Angelo, TX "," Atlantic City-Hammonton, NJ "," Punta Gorda, FL "," Fort Wayne, IN "," Honolulu, HI  (DISCONTINUED)","New Orleans-Metairie, LA "," Palm Coast, FL  (DISCONTINUED)","Milwaukee-Waukesha, WI ","Grand Rapids-Kentwood, MI ","Cincinnati, OH-KY-IN ","Greenville-Anderson, SC ","San Antonio-New Braunfels, TX ","Indianapolis-Carmel-Anderson, IN ","Vineland-Bridgeton, NJ ","Trenton-Princeton, NJ ","Baltimore-Columbia-Towson, MD ","Texarkana, TX-AR ","Durham-Chapel Hill, NC ","Fort Collins, CO "
1/1/2000,922.9575601,2026.601529,1475.654696,3555.163211,3965.514152,520.1333567,1601.268398,685.464005,1839.936737,1907.734212,616.3304501,3188.414954,5289.881351,407.8533352,545.0342009,288.4062861,1399.326022,574.591218,2115.100104,3714.973416,285.6259168,2405.676192,1789.674807,888.6582935,587.1819551,394.2453661,113.1985641,1587.363911,199.3849172,379.3365453,1171.778157,1094.700765,1268.208535,2059.769739,1128.294042,549.7313861,734.2540776,990.1901843,1403.730917,2318.718537,344.0384121,3422.601213,353.614445,410.8091172,#N/A,469.9197808,170.1542886,649.0152271,851.5054364,61.81655485,1746.103049,469.044202,2895.466031,444.6096467,346.2956383,1520.724854,1224.54575,411.9725461,243.0470402,608.5554321,384.8337604,628.1538812,#N/A,#N/A,332.9439315,808.5809319,#N/A,128.5910453,302.3277332,427.2818621,112.2162829,1,70.53849018,445.8202976,#N/A,498.5203342,91.27023239,#N/A,99.26765263,25.10379271,#N/A,32.41621762,48.79522687,232.5963718,#N/A,196.8358832,103.8930523,24.58699544,177.8554256,108.7376141,169.9166667,102.4070829,86.63149506,#N/A,#N/A,595.265703,20.5084645,203.4689276,142.9207996,212.2173523,170,310.1463806,#N/A,491.2257419,549.1083552,1014.895235,546.9154922,846.0835396,1251.011409,26.93024745,97.02958626,842.6692059,34.95000895,#N/A,283.4001134
1/1/2001,991.0735973,1799.547112,1583.700022,4078.039023,3836.470599,598.1319931,1777.004603,786.049253,1865.568352,2020.340699,926.5208749,3139.866648,5401.314933,453.0776553,531.8201522,345.6736327,1030.414656,416.4522106,2179.304155,3461.767363,322.8399472,2249.57408,2217.706155,1074.023685,554.3146682,371.2522218,116.0593726,1452.919686,217.4990936,378.5851759,918.1381802,1254.082941,1369.62422,1954.528696,1156.304043,498.2357478,690.1682298,992.6703577,1487.499361,2570.286572,402.381499,3648.481041,349.4550407,517.5332973,#N/A,360.4830405,175.4765525,692.1483759,639.0242632,57.96524569,1799.132041,506.3901247,3118.949596,418.5965504,345.182695,1384.857618,1290.986062,468.639739,293.7967713,773.3241579,441.284461,599.9881746,#N/A,#N/A,343.913692,888.5622993,#N/A,155.5583771,371.6032017,463.4545439,131.888149,1,83.77323768,392.2867305,#N/A,665.8297613,116.9787387,84.05637693,165.3466585,30.83892018,#N/A,25.6036475,40.80796898,295.3984289,#N/A,258.4266967,103.7242284,26.10868435,212.0259041,104.2809806,159.8333333,87.93085795,83.74730003,#N/A,#N/A,667.1264844,20.71847585,240.5588138,165.1374543,241.6997466,160,320.1928223,#N/A,445.7334346,579.6354785,1047.039467,583.0192384,1028.853156,1419.625792,20.26442116,102.7413345,870.9028103,19.39338021,#N/A,286.6810771
1/1/2002,977.8132591,1718.555136,1507.712508,4265.232236,4061.897712,561.5415074,1966.137863,794.762752,2152.684733,2086.884557,939.3196069,3313.498405,5374.871364,580.5423299,499.2119544,430.4038971,1050.06781,372.5125345,1782.865603,3908.348034,351.95846,2350.202484,2732.536719,1184.087215,579.2741724,394.0994647,135.2697581,1511.068711,264.9464759,389.458312,1025.758519,1209.22037,1173.35874,2146.26728,1178.096472,583.482433,687.1798705,1151.519328,1736.051773,2666.457429,487.200283,3872.362611,386.517569,582.1125649,#N/A,450.0939846,228.0052092,606.7140587,705.2081398,57.2285705,1746.743526,510.6726123,3917.31016,448.778162,284.5076484,1491.801149,1342.373388,477.1259296,430.8292225,856.7790843,379.3457627,641.6841559,#N/A,#N/A,360.8208147,922.7520619,#N/A,160.3010675,335.0700234,561.0906689,140.7765301,1,119.6250127,521.0703967,#N/A,711.9725144,108.8317711,112.6765468,173.5437436,31.64185786,#N/A,35.46888763,90.36585672,362.0294819,#N/A,511.9984092,149.9778065,38.55648033,218.7952944,113.6861735,198.0833333,105.1556796,105.2683731,#N/A,#N/A,809.5815743,20.79388116,263.2558385,160.0150207,281.4008437,198,388.6527491,#N/A,548.8398478,567.466842,1071.931411,638.3694714,925.02675,1436.31409,23.95880379,97.7757402,881.3129119,32.00576815,#N/A,287.3636675
1/1/2003,1086.249529,1773.960998,1446.236846,4441.646008,4103.272854,438.8315975,2374.874318,946.4502011,2307.191061,1870.429469,1270.542325,3116.115233,5378.627798,617.1145517,564.0991393,663.2260803,827.4952716,542.804558,1420.700362,4418.295843,342.6197129,2509.427314,3336.785315,1314.600225,618.3595711,543.5190039,126.6922768,1681.414677,400.8616373,487.6219198,1217.252178,1242.478768,1418.893719,2321.151155,1276.883621,523.3178806,801.5216879,1197.167402,1918.649072,3301.81588,543.0019943,4149.68184,403.0410188,848.5493931,#N/A,470.7653096,196.8064014,496.2093839,755.9931843,57.6972809,1658.969318,588.7056525,4664.551426,565.2132605,412.4582046,1555.683452,1363.710297,636.8180064,436.8213573,744.7090433,429.6749795,629.5327904,#N/A,#N/A,335.8524108,829.4796719,#N/A,158.1461938,419.6637913,613.8429831,179.2401487,1,183.3410731,583.2129453,#N/A,674.3116107,108.47244,80.9092051,190.7968018,38.97691708,#N/A,36.04339641,79.51190762,431.0081242,#N/A,542.0348068,170.9559345,41.43558097,196.1776083,132.2894594,221.0833333,124.1638146,141.8175108,#N/A,#N/A,903.5316465,22.1978201,296.5192853,207.3655316,256.9495518,221,459.4031027,#N/A,553.6122667,611.3797554,1097.514184,645.4388487,933.4029429,1302.412838,27.63432139,99.22079557,861.2449438,50.26608499,#N/A,280.8646887
1/1/2004,1369.434895,1970.276513,1215.797373,4430.699257,4588.079678,569.6680653,2434.207349,653.9474192,2252.546364,3738.89142,1743.645514,3042.342807,6243.948881,638.7444185,784.7602341,784.2284699,1443.553483,450.9233418,1681.591602,5274.819224,374.1300441,3044.505242,4203.302932,1622.461149,710.6515961,656.4236348,144.7581112,1777.404358,414.5062025,642.3434967,1258.16379,1235.287271,1345.444091,2731.444584,1306.889024,551.2871407,1235.580351,1248.831797,1879.078722,2879.674392,656.5431999,3977.306732,598.0789373,557.5315175,326.2091805,534.7877683,272.338336,571.5148261,839.6292932,48.39514019,1790.304087,731.475768,4426.618411,693.5632708,591.178279,1766.671291,1186.042741,776.8363418,431.0568184,1143.844032,484.5403429,595.375162,27,30.10261516,375.5056613,502.2215283,76.49064942,157.5570906,442.0842514,726.3352101,180.1647639,23.5,176.6584892,577.8303007,229.174683,764.0804584,100.8021126,87.26800336,165.0756128,58.04486595,21.52325099,16.24704603,59.93312187,621.4422531,50.9577585,453.5985774,193.1637521,61.91552598,383.0133062,138.5268506,11.67117629,88.00137403,142.7757257,165.7219176,19.34872398,903.7019861,19.27647007,162.1118494,309.1691229,216.6188141,317,536.5828345,#N/A,516.7301941,373.7825173,1096.975634,399.206297,1433.846716,1283.581606,27.95232761,189.226026,842.8693343,26.84162416,416.3049097,278.4645718
1/1/2005,1352.652656,2134.719064,1224.794827,5016.434124,5315.409672,588.7709222,2760.650013,742.8345161,1849.074012,3544.781255,2415.046153,2864.853232,5932.680689,618.513179,999.6104653,908.1224237,1835.212353,462.2938481,1691.828902,5059.804509,466.4656286,2708.481788,4188.291812,2122.297873,604.14398,942.0879933,187.8635577,1729.720453,314.8482815,631.5452055,1232.967892,1256.546258,1175.354714,2950.873637,1407.994602,498.8656281,1373.653336,1252.732513,1530.667207,3251.385095,660.2350429,4381.067483,624.6520025,586.7959368,363.5753865,544.6229808,326.6064293,530.4789959,887.6837501,48.71039135,1835.190511,917.755386,5092.301978,831.7192249,923.2648175,1379.801025,1051.168453,760.687449,510.8444351,1203.485133,524.5590938,532.6338588,18,35.47904047,361.0958004,526.6275842,97.53041452,185.4540338,414.4230189,694.1985109,169.0732462,32.5,189.6955517,481.3956839,332.7335327,835.377855,98.90231756,137.579631,176.882153,57.21864962,23.12098662,21.33664146,49.67775476,719.8433462,45.644453,621.3982499,193.2568357,69.14746937,385.490872,125.3553181,13.08119725,100.3554551,201.8568232,210.5988271,15.85983847,862.701546,22.58437561,157.3613154,336.2866252,210.4154592,286,370.2474005,#N/A,464.1223054,340.9494522,1073.262834,451.6235333,1828.539534,1292.958374,43.67535858,98.19220758,813.7343885,22.64181057,367.3928854,222.6032242
1/1/2006,1251.072381,2144.80089,1438.335403,4669.74096,5049.530561,378.8628749,1852.756555,604.3151289,1359.17474,2657.092026,1471.814803,2291.746405,5685.230134,497.6954599,686.1943713,534.3931368,2156.305623,445.9890376,1473.311859,3539.037422,428.3783791,2799.952914,3123.93002,1403.56829,476.5907868,812.1316015,144.7545117,1289.080348,222.5025368,571.7033254,1123.645732,1115.943469,759.3803273,2515.239055,1268.901896,467.3576511,1225.961316,992.5756318,994.6321044,2515.721474,466.1085978,3897.26153,604.4247173,343.7045609,276.066639,463.6138872,323.1011067,399.3953775,841.6225844,34.56391066,2134.667961,698.898882,5730.215617,730.2711018,880.3906933,787.0481547,666.9928936,622.180278,446.3150696,690.9459955,320.4937222,428.232641,29,36.99709188,260.291887,501.5635029,75.1763657,164.0889291,314.0051841,647.2810401,116.5619281,39.2,153.5276686,288.6781671,255.1616863,668.5044246,108.654866,183.8234203,145.8283898,51.88046427,16.69885372,21.860931,44.42645598,553.0295966,43.35733967,586.213373,153.6047939,55.55670807,333.8359953,131.0102816,11.32423851,93.40184656,195.7380431,130.4705172,15.62038092,657.7714726,40.54478566,139.1473136,303.0374871,137.768217,213,451.0007822,#N/A,336.1493885,239.5467609,816.9543657,432.519497,1640.272764,956.5443206,50.79074726,82.39522796,694.9338274,17.81045691,334.1218332,189.185626
1/1/2007,1102.012259,2196.496355,1309.010493,3411.511221,4623.600016,263.4968852,1012.811623,452.5416136,853.973456,1216.291937,466.4060298,1904.880357,3608.987006,357.5806818,466.9430515,206.284491,1648.883133,383.9789983,1171.252349,2962.380587,436.2859404,2158.205189,1727.563896,910.0160504,485.2081984,353.0431847,120.9057993,1110.687523,220.7531173,433.3575464,815.9089222,662.6153574,625.2849851,1558.213104,1084.240891,392.2153249,894.9343386,859.8331002,695.0793619,2094.643765,240.5685986,2857.967187,536.6347464,197.5488987,156.3227568,396.0381125,212.6492516,183.6359234,659.7356024,22.81132131,1711.692121,433.4419028,5110.871226,532.4276406,460.3431958,383.3835246,519.9446267,522.6666028,322.7194154,219.9029757,178.2389722,328.874822,12,31.01532523,138.5567021,413.0866831,85.47398267,136.5536953,225.1362819,517.501512,91.49656628,42.8,110.3755845,206.4615863,124.0062967,564.1436773,55.52352287,130.5765796,92.25362055,42.09117238,32.95983789,36.5846859,57.0885676,466.8419311,25.29811788,248.610152,109.0092418,27.16741352,245.4212944,113.6588736,7.657402048,78.40335861,110.212332,80.75415844,4.303286403,522.1230067,29.06644081,101.2389985,115.2252157,95.29456565,230,570.16411,51,271.9892005,155.8479559,578.3900017,437.2263855,1134.679054,683.7923995,49.2403152,50.01152974,539.9042911,33.6700433,264.6163346,112.5375257
1/1/2008,596.0941645,1255.058521,958.9241166,2714.981048,3909.344754,159.34593,754.2875807,356.3976346,496.0313758,671.3123315,132.032146,1203.941585,1545.795096,210.6600123,282.4015602,109.7241586,1181.048841,262.7683669,750.861292,1408.345842,305.1422434,1260.797136,793.0999016,564.0317289,299.5272558,258.9041532,66.35535167,829.2799796,117.9475481,283.2056284,611.3247664,483.0133891,388.2112451,881.7422017,636.6273594,280.3425964,627.0743582,476.5515248,423.687565,1007.71023,138.4529045,1391.34443,349.1553196,109.8693175,61.13876944,385.0396413,123.7389735,77.78808155,262.3744412,11.53374586,993.4354805,225.6537928,3473.357975,377.2832965,249.7484014,221.6471543,370.3064491,327.6198853,264.6859801,166.9321609,95.46981289,217.531883,5,24.89685519,80.98106359,265.0328297,71.59334135,82.63995115,161.4238699,299.0009549,38.33029977,40.3,77.04333285,73.65896656,53.97698942,420.0619163,34.10509116,72.54352968,45.97340906,30.50908019,8.748778639,59.62463867,36.14212606,314.1122429,16.11338215,97.56323699,53.55170568,15.33226434,156.64069,65.86629466,4.48311502,85.42829039,77.01941577,40.35284173,1.394961336,413.0515137,21.33056613,64.44184314,42.82847803,81.05121725,146,392.7108067,48,194.9274471,94.73090353,355.9678106,263.5184117,835.0410269,537.0832647,33.25204709,48.05506034,397.2782663,11.80818037,182.4602739,106.0443732
